timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
53425374,53424940,4259850,4325386,0.00145396,-0.000639064,-0.00107671,-0.00794071,-0.0302885,-0.0472869,4987,4933,0
53923890,53923759,4259850,4325386,-0.00108211,-0.0006716,-0.000164899,0.000839468,0.00890177,-0.0441193,5006,4989,0
54423005,54422774,4259850,4325386,-0.000155929,0.000408804,-0.000356084,-0.00442077,-0.0282712,-0.0511631,4986,4992,0
54925395,54925246,4259850,4325386,-0.00460672,-7.58145e-07,0.000146874,-0.00867733,-0.0315928,-0.0596012,4996,4937,0
55424120,55423993,4259850,4325386,0.000390136,-0.000434699,2.09789e-05,-0.0130948,-0.0356029,-0.0519447,4987,4934,0
55922886,55922775,4259850,4325386,0.00114952,-0.000458208,0.000552324,0.00214761,-0.00558237,-0.0414509,4989,5000,0
56421674,56421549,4259850,4325386,0.000212909,-0.00111584,-0.0002115,0.0124024,-0.0184165,-0.0383571,4987,4933,0
56925474,56925315,4259850,4325386,0.00129942,0.000527367,-0.0013443,-0.00184899,-0.0343632,-0.0536125,4988,5915,0
57424388,57424115,4259850,4325386,-0.000405613,-0.00048676,-0.000177017,-0.00631621,-0.033435,-0.048518,4974,4944,0
57927097,57926952,4259850,4325386,2.24916e-05,7.66761e-05,0.000335874,-0.00268494,-0.0344796,-0.0477167,4980,4934,0
58425843,58425664,4259850,4325386,-0.000145369,0.000646139,0.000846777,-0.00751127,0.00813435,-0.0637743,4992,5909,0
58925264,58925144,4259850,4325386,0.000177983,-0.000313615,0.000164184,0.000731102,-0.000946283,-0.0484881,4971,4757,0
59423828,59423704,4259850,4325386,0.000535001,-0.000105867,0.000381637,0.00450295,-0.0223514,-0.0520948,4994,4933,0
59922797,59922681,4259850,4325386,-0.00132466,0.000744796,0.000697172,-0.00216838,0.014734,-0.0510932,5033,4721,0
60426548,60426390,4259850,4325386,-0.000499773,0.00248058,0.00089286,-0.0050123,-0.0194038,-0.0517566,4967,4933,0
60926132,60926017,4259850,4325386,0.00100274,-0.00111805,-0.000767661,-0.0134181,-0.0167931,-0.0454756,4988,4795,0
61425064,61424937,4259850,4325386,-0.00093199,0.000889667,-0.000752431,-0.00531703,0.00651958,-0.0438117,4989,4985,0
61924243,61924121,4259850,4325386,-0.00238141,0.00120837,0.000630172,-0.00769386,0.0154014,-0.0453708,4987,4745,0
62423221,62423080,4259850,4325386,0.00281729,-0.00136136,-0.000846016,-0.00742203,-0.0196891,-0.0456271,4965,4944,0
62921793,62921678,4259850,4325386,0.000166291,0.000198073,-0.000635316,0.00172581,0.000491603,-0.0426679,4986,4933,0
63425716,63425565,4259850,4325386,-0.00178257,0.000583533,0.000779846,-0.0119485,0.0143591,-0.0570898,4988,4989,0
63924495,63924330,4259850,4325386,0.00252524,-0.00029196,-0.00135821,0.000490487,-0.00058969,-0.0428961,4971,4925,0
64423120,64423005,4259850,4325386,-0.00273599,0.00039616,0.000563124,-0.00984651,-0.00617572,-0.0547129,4989,4933,0
64926884,64926769,4259850,4325386,0.00183558,-0.000172767,-0.000291549,0.00117418,-0.0113114,-0.0490512,4988,4937,0
65420773,65420662,4259850,4325386,-0.000409182,0.00211001,-0.000641997,-0.00966193,-0.00129812,-0.0539577,4954,4956,0
65924436,65924329,4259850,4325386,-0.000681575,0.000178551,-8.71566e-05,-0.000695466,-0.00646289,-0.044906,4983,4932,0
66422824,66422677,4259850,4325386,-0.000710819,-2.5779e-05,-0.000313597,0.0067928,0.0118993,-0.0353437,4935,4934,0
66921452,66921339,4259850,4325386,-0.000217813,-0.000705505,0.00145481,-0.00499486,0.0183297,-0.0489438,4988,4937,0
67425227,67425108,4259850,4325386,0.00086157,0.000177783,0.00116179,0.00224446,-0.00558999,-0.0408852,4985,4994,0
67924296,67924133,4259850,4325386,0.000429118,0.000631606,-0.000543315,0.00619304,0.00589393,-0.0402285,4983,4982,0
