timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
31127779,25495381,34.0356403,108.7574614,0.342767,-0.194445,0.135566,-0.16454,0.0848762,0.0,0.113805,-0.0528976,0.108758,0.0437653,-0.179406,0.0782857,-0.0672427,0.126826,-0.348689,1.16583,-1.52769,0.0152849,421.254,0.1,0.302112,0.402513,0.152803,0.117388,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31217189,25495381,34.0356403,108.7574614,0.345676,-0.199548,0.13589,-0.16454,0.0848762,0.0,0.111183,-0.0567548,0.0984115,0.0304204,-0.179406,0.0782857,-0.0672427,-0.510639,-0.142824,-1.43744,-1.52723,0.0152849,421.254,0.1,0.2913,0.401364,0.14645,0.115443,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31326453,25495381,34.0356403,108.7574614,0.350384,-0.205508,0.135993,-0.16454,0.0848762,0.0,0.103952,-0.0541742,0.0976042,0.0264864,-0.179406,0.0782857,-0.0672427,-1.646,0.4088,-0.393688,-1.52637,0.0152849,421.254,0.1,0.301179,0.403673,0.152309,0.117533,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31415856,25495381,34.0356403,108.7574614,0.351511,-0.211419,0.134804,-0.16454,0.0848762,0.0,0.102653,-0.0497863,0.0990816,0.0244794,-0.179406,0.0782857,-0.0672427,-0.412638,0.494106,-0.449592,-1.52554,0.0152849,421.254,0.1,0.290556,0.399902,0.14605,0.115321,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31525181,25495381,34.0356403,108.7574614,0.355768,-0.218319,0.134167,-0.16454,0.0848762,0.0,0.105879,-0.0512725,0.0984371,0.0208728,-0.179406,0.0782857,-0.0672427,0.745945,0.411078,-0.429578,-1.52503,0.0152849,421.254,0.1,0.300493,0.402268,0.151866,0.117387,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31624463,25495381,34.0356403,108.7574614,0.357456,-0.224786,0.131188,-0.16454,0.0848762,0.0,0.102907,-0.056001,0.0996852,0.0174286,-0.179406,0.0782857,-0.0672427,0.032855,0.408839,0.0783705,-1.52424,0.0152849,421.254,0.1,0.290662,0.399198,0.146007,0.115374,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31723800,25495381,34.0356403,108.7574614,0.36112,-0.231034,0.129304,-0.16454,0.0848762,0.0,0.101031,-0.055776,0.0959661,0.0108324,-0.179406,0.0782857,-0.0672427,-0.193702,-0.344946,0.689212,-1.5235,0.0152849,421.254,0.1,0.29976,0.400925,0.1513,0.117186,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31823269,25495381,34.0356403,108.7574614,0.362579,-0.236484,0.123823,-0.16454,0.0848762,0.0,0.0960305,-0.0538787,0.0878642,-0.00324447,-0.179406,0.0782857,-0.0672427,-0.575395,0.513903,-0.729809,-1.52256,0.0152849,421.254,0.1,0.289923,0.397897,0.145457,0.115165,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31917510,25495381,34.0356403,108.7574614,0.366088,-0.241417,0.120599,-0.16454,0.0848762,0.0,0.101053,-0.0559658,0.0951146,0.000801336,-0.179406,0.0782857,-0.0672427,0.872916,-1.47346,0.15165,-1.52256,0.0152849,421.254,0.1,0.298103,0.401583,0.150222,0.117004,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32026818,25495381,34.0356403,108.7574614,0.367726,-0.247361,0.114948,-0.16454,0.0848762,0.0,0.0990541,-0.05626,0.0868318,-0.0117589,-0.179406,0.0782857,-0.0672427,0.081751,-0.726278,-1.14472,-1.52209,0.0152849,421.254,0.1,0.289234,0.399239,0.145166,0.11524,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
