timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
50249556,50249310,-0.05351188,-0.0074861897,0.00074634695,0.0,0.0,0.0,0.0,-1.0
50250797,50250552,-0.053898476,-0.01128678,0.00076143694,0.0,0.0,0.0,0.0,-1.0
50353858,50353612,-0.040227365,-0.01916543,0.012965544,0.0,0.0,0.0,0.0,-1.0
50451952,50451706,-0.10197885,-0.009086742,-0.0007294449,0.0,0.0,0.0,0.0,-1.0
50552529,50552284,-0.0065476815,0.03165228,0.010161839,0.0,0.0,0.0,0.0,-1.0
50650622,50650378,-0.05265783,-0.020674678,-0.00949217,0.0,0.0,0.0,0.0,-1.0
50752445,50752204,-0.124082446,-0.080610186,-0.009674777,0.0,0.0,0.0,0.0,-1.0
50850536,50850293,-0.06385576,0.010705427,0.009808831,0.0,0.0,0.0,0.0,-1.0
50952407,50952164,-0.06942755,-0.00013629507,0.00619759,0.0,0.0,0.0,0.0,-1.0
51054179,51053931,-0.095435746,-0.044424366,-0.0013455527,0.0,0.0,0.0,0.0,-1.0
51151027,51150784,-0.11162366,-0.07344872,-0.013770585,0.0,0.0,0.0,0.0,-1.0
51252862,51252613,-0.09351534,-0.07851685,-0.0082208235,0.0,0.0,0.0,0.0,-1.0
51350948,51350700,-0.06034933,-0.008211822,0.0016792044,0.0,0.0,0.0,0.0,-1.0
51452762,51452518,-0.103289865,0.0031436179,0.0058529945,0.0,0.0,0.0,0.0,-1.0
51550854,51550611,-0.15244809,0.015184181,0.0061679417,0.0,0.0,0.0,0.0,-1.0
51651437,51651194,-0.14164175,-0.011882829,0.0015223562,0.013278106,0.0,0.0,0.0,-1.0
51753342,51753096,-0.11812494,-0.023178088,0.00036941617,0.054319523,0.0,0.0,0.0,-1.0
51851362,51851111,-0.12299974,0.022739338,0.015464673,0.17872189,0.0,0.0,0.0,-1.0
51953165,51952918,0.18134147,0.04959752,-0.0093573155,0.23266272,0.0,0.0,0.0,-1.0
52051420,52051172,-0.055043638,0.022752859,0.022251852,0.24691124,0.0,0.0,0.0,-1.0
52153092,52152836,-0.0023307577,-0.14697373,-0.00032479345,0.24487573,0.0,0.0,0.0,-1.0
52249938,52249689,-0.03033697,0.095644236,-0.0057533584,0.24487573,0.0,0.0,0.0,-1.0
52351751,52351508,0.07837358,-0.14065726,0.0012103748,0.243858,0.0,0.0,0.0,-1.0
52453577,52453328,0.14386642,-0.038490847,0.004045055,0.24487573,0.0,0.0,0.0,-1.0
52551668,52551422,0.014349674,-0.12514149,-0.002310905,0.2458935,0.0,0.0,0.0,-1.0
52653495,52653244,-0.030624963,0.027275875,-0.0016364127,0.243858,0.0,0.0,0.0,-1.0
52751592,52751336,-0.030002324,0.004550274,-0.011524614,0.2977988,0.0,0.0,0.0,-1.0
52852312,52852065,-0.05328282,0.037766207,0.011750861,0.32934913,0.0,0.0,0.0,-1.0
52950260,52950009,-0.07386748,-0.046416476,0.004495896,0.3334201,0.0,0.0,0.0,-1.0
53052082,53051828,-0.069319196,0.073218785,-0.0065880176,0.33647338,0.0,0.0,0.0,-1.0
53153894,53153648,-0.036143772,-0.061520237,-0.007602244,0.38736096,0.0,0.0,0.0,-1.0
53251996,53251752,-0.06596657,-0.0072415452,0.0063212905,0.40059173,0.0,0.0,0.0,-1.0
53352568,53352321,-0.066034794,-0.011020842,0.006914106,0.42603552,0.0,0.0,0.0,-1.0
53450665,53450416,-0.019015089,-0.02162236,0.0013519857,0.44639054,0.0,0.0,0.0,-1.0
53552496,53552252,0.06473139,-0.0036680603,0.014046231,0.4555503,0.0,0.0,0.0,-1.0
53650666,53650419,-0.048902567,-0.015663307,0.04389346,0.4555503,0.0,0.0,0.0,-1.0
53752389,53752148,-0.028858429,-0.068159305,0.006532903,0.47692308,0.0,0.0,0.0,-1.0
53854220,53853967,-0.009822195,-0.007666403,0.0034022795,0.49727812,0.0,0.0,0.0,-1.0
53951064,53950820,-0.029011413,-0.052724313,-0.0055495063,0.4993136,0.0,0.0,0.0,-1.0
54052887,54052639,-0.022139987,-0.06182598,-0.010394187,0.5084734,0.0,0.0,0.0,-1.0
54150983,54150742,-0.011030756,-0.05805332,-0.038487997,0.5175385,0.0,0.0,0.0,-1.0
54252799,54252553,0.029384108,-0.040281914,-0.03943029,0.5210178,0.0,0.0,0.0,-1.0
54350894,54350648,0.014522583,-0.10813353,-0.032889348,0.5210178,0.0,0.0,0.0,-1.0
54451582,54451340,0.08058528,-0.10192669,-0.022780033,0.5210178,0.0,0.0,0.0,-1.0
54553292,54553045,-0.043924175,-0.043982744,-0.037441533,0.5210178,0.0,0.0,0.0,-1.0
54651395,54651152,0.037705928,-0.075379536,-0.033862557,0.52333724,0.0,0.0,0.0,-1.0
54753254,54753003,-0.02965811,-0.08299505,-0.012462933,0.56160945,0.0,0.0,0.0,-1.0
54851303,54851054,0.073306106,-0.09258073,-0.004815769,0.56276923,0.0,0.0,0.0,-1.0
54953143,54952876,-0.0058445935,-0.008248066,0.008028175,0.56276923,0.0,0.0,0.0,-1.0
55049973,55049726,-0.05080036,-0.07544244,0.0084715,0.56276923,0.0,0.0,0.0,-1.0
55151806,55151548,-0.014406113,-0.04267482,0.020004613,0.56624854,0.0,0.0,0.0,-1.0
55249948,55249701,-0.01854964,-0.0762709,0.018293958,0.56972784,0.0,0.0,0.0,-1.0
55351752,55351510,0.106027156,-0.10603717,0.020686064,0.5732071,0.0,0.0,0.0,-1.0
55453525,55453281,-0.022346793,-0.037419587,0.019855887,0.57784617,0.0,0.0,0.0,-1.0
55550550,55550307,0.0503853,-0.053662874,0.021073207,0.57784617,0.0,0.0,0.0,-1.0
55652202,55651952,-0.07078585,-0.03619965,0.017253112,0.5766864,0.0,0.0,0.0,-1.0
55750292,55750046,-0.03295251,-0.031324543,0.011695961,0.5766864,0.0,0.0,0.0,-1.0
55852114,55851868,0.030135619,-0.067299716,0.011466783,0.5766864,0.0,0.0,0.0,-1.0
55953932,55953685,0.06255747,-0.07984659,0.0013875006,0.5766864,0.0,0.0,0.0,-1.0
56052082,56051833,0.0876323,-0.062225997,0.00039261385,0.5743668,0.0,0.0,0.0,-1.0
56152599,56152358,0.021738973,-0.05491247,-0.0037200004,0.5732071,0.0,0.0,0.0,-1.0
56250696,56250452,0.056491114,-0.08651814,-0.010255517,0.5732071,0.0,0.0,0.0,-1.0
56352713,56352467,0.031964608,-0.06494082,-0.0071709463,0.5732071,0.0,0.0,0.0,-1.0
56450611,56450367,-0.022636052,0.0004478981,-0.012988397,0.57088757,0.0,0.0,0.0,-1.0
56552442,56552186,-0.015337377,-0.0713996,-0.003750435,0.57088757,0.0,0.0,0.0,-1.0
56650540,56650292,-0.03472822,-0.05437235,-0.009216111,0.57088757,0.0,0.0,0.0,-1.0
