timestamp,saturation_status
50245384,1533
50267084,1533
51228934,1533
52231966,1
53232020,1
54238614,1
55243901,1
56245446,1
57250436,1
58251522,1
59251276,1
60230636,1
61231522,1
62254255,1
63245976,1
64243636,1
65239802,1
66239587,1
67241256,1
68245230,1
69243020,1
70246212,1
71241972,1
72245604,1
73244188,1
74246114,1
75249121,1
76248601,1
77247573,1
78245340,1
79248828,1
80246963,1
81248391,1
82243501,1
83247242,1
84245761,1
85249075,1
86247080,1
87250019,1
88243969,1
89247378,1
90245444,1
91246040,1
92246664,1
93249961,1
94243965,1
95241399,1
96225256,1
97248285,1
98246955,1
99249012,1
100246691,1
101246646,1
102247529,1
103248921,1
104247173,1
105245216,1
106248976,1
107249279,1
108249049,1
109250780,1
110251320,1
111235134,1
112231607,1
113250354,1
114248157,1
115248474,1
116249189,1
117230001,1
118233268,1
119236704,1
120234920,1
121249810,1
122231727,1
123232513,1
124248828,1
125231553,1
126229951,1
127233457,1
128236724,1
129232646,1
130236391,1
131233773,1
132234884,1
133238236,1
134234739,1
135234945,1
136236355,1
137236474,1
138233051,1
139253212,1
140236520,1
141242358,1
142236263,1
143234575,1
144234979,1
145236377,1
146252077,1
147245175,1
148248088,1
149246439,1
150244750,1
151242195,1
152241569,1
153239847,1
154240817,1
155239177,1
156237975,1
157237867,1
158239206,1
159239550,1
160243102,1
161234937,1
162237460,1
163240718,1
164244850,1
165242511,1
166240752,1
167239116,1
168237484,1
169238323,1
170236556,1
171239984,1
172236329,1
173236537,1
174250110,1
175228215,1
176247011,1
177239878,1
178238201,1
179239340,1
180234907,1
181235821,1
182230577,1
183235183,1
184233171,1
185232209,1
186233029,1
187236415,1
188234785,1
189242811,1
190236597,1
191231574,1
192234911,1
193233380,1
194234754,1
195232662,1
196248872,1
197252086,1
198247967,1
199246818,1
200246473,1
201240038,1
202243368,1
203241519,1
204239879,1
205253444,1
206231583,1
207252491,1
208235891,1
209234912,1
210235011,1
211238125,1
212239169,1
213243293,1
214241038,1
215236000,1
216234013,1
217232548,1
218233698,1
219235695,1
220233323,1
221239499,1
222249881,1
223251458,1
224247547,1
225242769,1
226248832,1
227245559,1
228250100,1
229245910,1
230249664,1
231249962,1
232250976,1
233235038,1
234235041,1
235249087,1
236250590,1
237227780,1
238242185,1
239237005,1
240237675,1
241233420,1
242235138,1
243240131,1
244238401,1
245236962,1
246237761,1
247238377,1
248236887,1
249238382,1
250241710,1
251241748,1
252240222,1
253236604,1
254236983,1
255235105,1
256233476,1
257236940,1
258237835,1
259233520,1
260236852,1
261244150,1
262238457,1
263239550,1
264238028,1
265248721,1
266244510,1
267242836,1
268238297,1
269239457,1
270238650,1
271236360,1
272239652,1
273235447,1
274238553,1
275247069,1
276250199,1
277231337,1
278249533,1
279253871,1
280233698,1
281235263,1
282235357,1
283233641,1
284242093,1
285233247,1
286236152,1
287236984,1
288233065,1
289236479,1
290239616,1
291233620,1
292253172,1
293253997,1
294247754,5
295231947,1501
296247279,1
