timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
43191127,4259850,4325386,0,0,0,0,0,0.0017575779,4.1414198e-05,6.557864e-10,1008,1002
43295877,4259850,4325386,0,0,0,0,0,0.0020541116,0.00011379426,1.4682876e-08,1008,1002
44133348,4259850,4325386,0,0,0,0,0,0.011044312,0.002360096,2.0758705e-06,1008,1002
45170471,4259850,4325386,0,0,0,0,0,0.014727475,0.0029291385,2.9050987e-06,1008,1002
46112949,4259850,4325386,0,0,0,0,0,0.0154147325,0.0027574184,2.2880713e-06,1008,1002
47154966,4259850,4325386,0,0,0,0,0,0.018595645,0.002144441,1.0973313e-06,1008,1002
48197455,4259850,4325386,0,0,0,0,0,0.015592221,0.0012879411,1.4281119e-06,1008,1002
49139498,4259850,4325386,0,0,0,0,0,0.020356419,0.0012391695,1.0353136e-06,1008,1002
50181889,4259850,4325386,0,0,0,0,0,0.023464682,0.0012737323,1.1378132e-06,1008,1002
51124157,4259850,4325386,0,0,0,0,0,0.02462015,0.0015100975,1.155376e-06,1008,1002
52171499,4259850,4325386,0,0,0,0,0,0.021169923,0.0014240941,1.0443157e-06,1008,1002
53109694,4259850,4325386,0,0,0,0,0,0.020275064,0.0014248684,7.8909187e-07,1008,1002
54147361,4259850,4325386,0,0,0,0,0,0.023920543,0.0014869318,3.460182e-07,1008,1002
55194640,4259850,4325386,0,0,0,0,0,0.020683415,0.0013535273,3.0673948e-07,1008,1002
56132044,4259850,4325386,0,0,0,0,0,0.019143263,0.0014455488,2.9874886e-07,1008,1002
57179163,4259850,4325386,0,0,0,0,0,0.020544115,0.0014600157,4.059069e-06,1008,1002
58121848,4259850,4325386,0,0,0,0,0,0.019568259,0.0014164676,4.590207e-06,1008,1002
59163781,4259850,4325386,0,0,0,0,0,0.021054832,0.0015144619,1.923952e-06,1008,1002
60101811,4259850,4325386,0,0,0,0,0,0.02528622,0.001798038,1.0019435e-06,1008,1002
61143900,4259850,4325386,0,0,0,0,0,0.023434183,0.0013954543,3.8081706e-07,1008,1002
62186636,4259850,4325386,0,0,0,0,0,0.024132954,0.0014999629,3.0310441e-06,1008,1002
63129250,4259850,4325386,0,0,0,0,0,0.024834102,0.001394974,3.8699777e-06,1008,1002
64169967,4259850,4325386,0,0,0,0,0,0.02796382,0.0017802067,4.7054655e-06,1008,1002
65107173,4259850,4325386,0,0,0,0,0,0.023200847,0.0013962277,3.4466805e-06,1008,1002
66154556,4259850,4325386,0,0,0,0,0,0.022849089,0.0014831778,3.6729064e-06,1008,1002
67202144,4259850,4325386,0,0,0,0,0,0.021450222,0.0012668387,3.3766114e-06,1008,1002
68139688,4259850,4325386,0,0,0,0,0,0.0230492,0.0016706581,3.798649e-06,1008,1002
69186147,4259850,4325386,0,0,0,0,0,0.026168065,0.0017451479,4.157225e-06,1008,1002
70128633,4259850,4325386,0,0,0,0,0,0.023311138,0.0014286337,2.3007826e-06,1008,1002
71165758,4259850,4325386,0,0,0,0,0,0.022410428,0.0014548638,2.4537908e-06,1008,1002
72108453,4259850,4325386,0,0,0,0,0,0.021523135,0.0014667526,2.3157415e-06,1008,1002
73145982,4259850,4325386,0,0,0,0,0,0.022312641,0.001814596,3.8170774e-06,1008,1002
74193332,4259850,4325386,0,0,0,0,0,0.02528403,0.001795482,3.506265e-06,1008,1002
75135443,4259850,4325386,0,0,0,0,0,0.023704559,0.0014637631,3.7501395e-06,1008,1002
76177939,4259850,4325386,0,0,0,0,0,0.02533498,0.0017931092,2.9354783e-06,1008,1002
77115776,4259850,4325386,0,0,0,0,0,0.023941157,0.001759903,3.937655e-06,1008,1002
78154016,4259850,4325386,0,0,0,0,0,0.026617737,0.0017324603,4.5972365e-06,1008,1002
79200347,4259850,4325386,0,0,0,0,0,0.026853161,0.0017246141,4.9523765e-06,1008,1002
80142679,4259850,4325386,0,0,0,0,0,0.02904545,0.0017299189,4.453743e-06,1008,1002
81180167,4259850,4325386,0,0,0,0,0,0.02581806,0.0014216099,3.033828e-06,1008,1002
82117733,4259850,4325386,0,0,0,0,0,0.024173643,0.0014750232,4.260738e-06,1008,1002
83165355,4259850,4325386,0,0,0,0,0,0.025339546,0.0015867449,4.6904943e-06,1008,1002
84203124,4259850,4325386,0,0,0,0,0,0.021185368,0.0013696171,4.080509e-06,1008,1002
85131177,4259850,4325386,0,0,0,0,0,0.022011768,0.0014283807,3.3856377e-06,1008,1002
86178553,4259850,4325386,0,0,0,0,0,0.024550239,0.0017618976,4.391475e-06,1008,1002
87120978,4259850,4325386,0,0,0,0,0,0.022661788,0.001465699,3.5589703e-06,1008,1002
88168559,4259850,4325386,0,0,0,0,0,0.023083776,0.0013973877,3.9045435e-06,1008,1002
89111008,4259850,4325386,0,0,0,0,0,0.021519091,0.0014474221,3.2102464e-06,1008,1002
90153453,4259850,4325386,0,0,0,0,0,0.020561019,0.0016739671,4.0623922e-06,1008,1002
91185926,4259850,4325386,0,0,0,0,0,0.024705807,0.0015405758,3.0947783e-06,1008,1002
92124182,4259850,4325386,0,0,0,0,0,0.02365803,0.0013502513,3.2768246e-06,1008,1002
93166218,4259850,4325386,0,0,0,0,0,0.023226807,0.0015193793,3.6814058e-06,1008,1002
94203500,4259850,4325386,0,0,0,0,0,0.020719238,0.0015304654,2.3958316e-06,1008,1002
95145672,4259850,4325386,0,0,0,0,0,0.025787883,0.0014283055,2.6017221e-06,1008,1002
96183751,4259850,4325386,0,0,0,0,0,0.024974447,0.0013733315,2.3077052e-06,1008,1002
97121294,4259850,4325386,0,0,0,0,0,0.02635267,0.001452449,2.9531748e-06,1008,1002
98163733,4259850,4325386,0,0,0,0,0,0.0241747,0.0016016347,2.6318412e-06,1008,1002
99196802,4259850,4325386,0,0,0,0,0,0.020934653,0.0015661212,2.1889946e-06,1008,1002
100133916,4259850,4325386,0,0,0,0,0,0.024127286,0.00176808,2.7645463e-06,1008,1002
101180325,4259850,4325386,0,0,0,0,0,0.022690443,0.0015295206,3.1905233e-06,1008,1002
102117706,4259850,4325386,0,0,0,0,0,0.024975825,0.00185415,4.1393373e-06,1008,1002
103164891,4259850,4325386,0,0,0,0,0,0.023650533,0.001565089,5.131158e-06,1008,1002
