timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
950030576,15188688,34.0348508,108.7566808,0.995118,1.59408,-2.37145,-0.0017292,-0.000995226,0.0,0.0932298,-0.156008,-0.0102651,-0.00807287,0.00207205,-0.00918655,0.142962,0.138454,-0.390527,-2.40751,0.0684697,0.00580707,418.445,0.121611,0.32972,0.385887,0.140225,0.100015,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950130694,15188688,34.0348508,108.7566808,0.987438,1.59088,-2.37072,-0.0017292,-0.000995226,0.0,0.120836,-0.186508,0.00710078,0.00820895,0.00207205,-0.00918655,0.142962,3.6261,-3.19635,-6.22548,0.066976,0.00580707,418.445,0.120878,0.32126,0.383831,0.136348,0.0991094,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950230812,15188688,34.0348508,108.7566808,0.98383,1.58417,-2.36853,-0.0017292,-0.000995226,0.0,0.123149,-0.185739,-0.0194481,-0.0181111,0.00207205,-0.00918655,0.142962,2.76957,-2.24424,-15.3962,0.0662552,0.00580707,418.445,0.118686,0.329445,0.384973,0.140919,0.100625,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950330930,15188688,34.0348508,108.7566808,0.975181,1.58213,-2.36391,-0.0017292,-0.000995226,0.0,0.0921493,-0.162624,0.017916,0.0200355,0.00207205,-0.00918655,0.142962,-0.101804,-0.359435,-6.1872,0.0660108,0.00580707,418.445,0.114074,0.320915,0.385238,0.136722,0.0998738,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950431048,15188688,34.0348508,108.7566808,0.967522,1.58153,-2.3605,-0.0017292,-0.000995226,0.0,0.101283,-0.154055,0.0237921,0.025363,0.00207205,-0.00918655,0.142962,2.5336,-2.7435,-6.10375,0.0660765,0.00580707,418.445,0.110662,0.329119,0.386423,0.141504,0.101413,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950531166,15188688,34.0348508,108.7566808,0.958553,1.58181,-2.35938,-0.0017292,-0.000995226,0.0,0.0811539,-0.143968,0.0478602,0.0474888,0.00207205,-0.00918655,0.142962,1.54842,2.02454,13.5668,0.066286,0.00580707,418.445,0.109538,0.320571,0.38434,0.137296,0.100422,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950631301,15188688,34.0348508,108.7566808,0.951524,1.57984,-2.35643,-0.0017292,-0.000995226,0.0,0.0807787,-0.155699,0.0306648,0.0301216,0.00207205,-0.00918655,0.142962,-0.597323,6.34199,5.56439,0.0664618,0.00580707,418.445,0.106586,0.328796,0.385557,0.14218,0.101974,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950731402,15188688,34.0348508,108.7566808,0.94192,1.57624,-2.35524,-0.0017292,-0.000995226,0.0,0.079132,-0.165958,0.0214637,0.0197709,0.00207205,-0.00918655,0.142962,-0.175864,0.644017,0.92412,0.0622048,0.00580707,418.445,0.105406,0.32025,0.383489,0.138001,0.100952,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950831520,15188688,34.0348508,108.7566808,0.933259,1.57261,-2.35575,-0.0017292,-0.000995226,0.0,0.0750283,-0.166725,0.034712,0.0318627,0.00207205,-0.00918655,0.142962,1.11156,-1.427,4.53526,0.0643209,0.00580707,418.445,0.105911,0.3285,0.38473,0.142951,0.10251,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
950931638,15188688,34.0348508,108.7566808,0.923327,1.5705,-2.35647,-0.0017292,-0.000995226,0.0,0.0762732,-0.137338,0.033867,0.0303075,0.00207205,-0.00918655,0.142962,1.02318,-1.69518,6.64954,0.06788,0.00580707,418.445,0.106634,0.319933,0.384989,0.138595,0.101661,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
