timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
703920156,-0.03343311,0.13501596,-0.0006828656,0.0,0.0,-0.0
703925257,-0.03312266,0.13414887,-0.00060329115,0.0,0.0,-0.0
703939979,-0.03329076,0.13474482,-0.0018400163,0.0,0.0,-0.0
703964844,-0.019210875,0.13370788,-0.0017995086,0.0,0.0,-0.0
703979752,-0.032851253,0.13565317,-0.0010358355,0.0,0.0,-0.0
703999561,-0.020298995,0.13627642,-0.001254369,0.0,0.0,-0.0
704024472,-0.031168051,0.13545337,-0.0015667886,0.0,0.0,-0.0
704084064,-0.0319951,0.13413051,-0.00086237537,0.0,0.0,-0.0
704104089,-0.03231019,0.1352944,-0.0016118223,0.0,0.0,-0.0
704118975,-0.02714516,0.13376625,-0.0019127153,0.0,0.0,-0.0
704143574,-0.03470325,0.13503984,-0.00047203962,0.0,0.0,-0.0
704163517,-0.01588268,0.13351913,-0.0012237794,0.0,0.0,-0.0
704183452,-0.022270918,0.13711129,-0.002093074,0.0,0.0,-0.0
704198260,-0.026213717,0.13377202,-0.0014094852,0.0,0.0,-0.0
704223009,-0.019815033,0.13453545,-0.0015903097,0.0,0.0,-0.0
704242844,-0.031001588,0.13442104,-0.0008018296,0.0,0.0,-0.0
704257791,-0.03190717,0.13293016,-0.0025913818,0.0,0.0,-0.0
704282622,-0.015481735,0.13432334,-0.0017773235,0.0,0.0,-0.0
704302472,-0.034909688,0.13465428,-0.0003635943,0.0,0.0,-0.0
704322245,-0.02786428,0.1336814,-0.0018460392,0.0,0.0,-0.0
704342098,-0.019675054,0.13372602,-0.000920878,0.0,0.0,-0.0
704362118,-0.03161309,0.13372995,-0.0010072989,0.0,0.0,-0.0
704382009,-0.0297224,0.13326712,-0.0017517285,0.0,0.0,-0.0
704401793,-0.031067718,0.1349065,-0.0006024404,0.0,0.0,-0.0
704421684,-0.019616708,0.13374197,-0.0020997145,0.0,0.0,-0.0
704441519,-0.017104,0.13302806,-0.0017511444,0.0,0.0,-0.0
704461401,-0.030982032,0.13309267,-0.0002577094,0.0,0.0,-0.0
704481184,-0.018183898,0.13318045,-0.0022034373,0.0,0.0,-0.0
704501105,-0.018088847,0.13395803,-0.0018793967,0.0,0.0,-0.0
704520933,-0.017219786,0.13362372,-0.00027656514,0.0,0.0,-0.0
704540696,-0.03096251,0.13255876,-0.0018831647,0.0,0.0,-0.0
704560539,-0.03018164,0.13303284,-0.0019177644,0.0,0.0,-0.0
704580464,-0.029323047,0.13317114,-0.00025644465,0.0,0.0,-0.0
704605287,-0.02924145,0.13306105,-0.00028356342,0.0,0.0,-0.0
704620243,-0.030506404,0.1330096,-0.0019132134,0.0,0.0,-0.0
704640168,-0.029464904,0.1330263,-0.0002391951,0.0,0.0,-0.0
704664974,-0.016501818,0.13326168,-0.0002741125,0.0,0.0,-0.0
704679844,-0.031207547,0.13354969,-0.002401146,0.0,0.0,-0.0
704699704,-0.017185848,0.13407625,-0.00035831408,0.0,0.0,-0.0
704724522,-0.016241718,0.13386832,-0.00021063173,0.0,0.0,-0.0
704744291,-0.03076006,0.13252908,-0.0022440024,0.0,0.0,-0.0
704759182,-0.029873181,0.13375746,-0.00037121866,0.0,0.0,-0.0
704784018,-0.016085317,0.13389492,-0.00012517732,0.0,0.0,-0.0
704803878,-0.029912747,0.13310307,-0.0016840514,0.0,0.0,-0.0
704818708,-0.030060438,0.13394408,-0.000889204,0.0,0.0,-0.0
704843550,-0.015830789,0.13419157,-0.0002287319,0.0,0.0,-0.0
704863448,-0.02860722,0.13356963,-0.0013494914,0.0,0.0,-0.0
704883349,-0.031050777,0.133234,-0.002282838,0.0,0.0,-0.0
704898364,-0.026988469,0.13351628,-0.00044037058,0.0,0.0,-0.0
704923314,-0.014725188,0.13269182,-0.001084128,0.0,0.0,-0.0
704943012,-0.030804778,0.13194412,-0.0019679237,0.0,0.0,-0.0
704957886,-0.014099079,0.13362806,-0.00079697307,0.0,0.0,-0.0
704982722,-0.026418883,0.13328359,-0.00081709237,0.0,0.0,-0.0
705002507,-0.017384036,0.13242806,-0.0015774856,0.0,0.0,-0.0
705022326,-0.015372716,0.13254371,-0.0016301045,0.0,0.0,-0.0
705042252,-0.025480006,0.13351482,-0.0009045765,0.0,0.0,-0.0
705062047,-0.016179541,0.13311264,-0.0011867702,0.0,0.0,-0.0
705081887,-0.028623234,0.1332502,-0.0018599818,0.0,0.0,-0.0
705101766,-0.012921823,0.13353166,-0.0014082326,0.0,0.0,-0.0
705121708,-0.014943921,0.13173327,-0.00072451634,0.0,0.0,-0.0
705141524,-0.01646996,0.13217199,-0.0016511397,0.0,0.0,-0.0
705161407,-0.024971606,0.1339137,-0.0018566453,0.0,0.0,-0.0
705181346,-0.013596505,0.13278146,-0.00061607256,0.0,0.0,-0.0
705201148,-0.028967418,0.1319743,-0.0009071151,0.0,0.0,-0.0
705221014,-0.025221007,0.1324043,-0.0025525668,0.0,0.0,-0.01623011
705240827,-0.02512945,0.1320178,-0.0007683587,0.0,0.0,-0.02746634
705260682,-0.02898586,0.13143605,-0.00022045571,0.0,0.0,-0.03495716
705280500,-0.013499848,0.13194324,-0.0029070633,0.0,0.0,-0.04119951
705305273,-0.024382181,0.13236968,-0.0028060637,0.0,0.0,-0.06866585
705320346,-0.028835775,0.13024,0.0004282836,0.0,0.0,-0.08988984
705340145,-0.02746633,0.13084649,-0.0019215307,0.0,0.0,-0.08988984
705364882,-0.026384354,0.13197678,-0.004736755,0.0,0.0,-0.19473685
705379890,-0.024191767,0.12965047,-0.0010366146,0.0,0.0,-0.19473685
705399724,-0.019967902,0.12679903,-0.0020281281,0.0,0.0,-0.20526315
705424649,-0.030698631,0.12315263,-0.0017964565,0.0,0.0,-0.20421053
705444472,-0.034429893,0.12545349,-0.0032811784,0.0,0.0,-0.20526315
705459440,-0.022119671,0.14201993,-0.005193921,0.0,0.0,-0.20526315
705484078,-0.037960097,0.13609542,-0.006283847,0.0,0.0,-0.20631579
705504088,-0.03718615,0.13551696,-0.007510485,0.0,0.0,-0.20631579
705518886,-0.049431495,0.14072953,-0.004814562,0.0,0.0,-0.20631579
705538745,-0.03138473,0.13459139,-0.0051273624,0.0,0.0,-0.20736842
705563519,-0.021214407,0.13160878,-0.0051559443,0.0,0.0,-0.20631579
705583444,-0.01730777,0.13299532,-0.0044871285,0.0,0.0,-0.20631579
705598285,-0.02215947,0.13200639,-0.003529838,0.0,0.0,-0.20631579
705623103,-0.030064477,0.12769754,-0.007870566,0.0,0.0,-0.20631579
705642933,-0.021793885,0.12835269,-0.007510559,0.0,0.0,-0.20631579
705657761,-0.026513824,0.12658548,-0.00816781,0.0,0.0,-0.20631579
705682669,-0.028429924,0.13389532,-0.005565741,0.0,0.0,-0.20631579
705702537,-0.024707876,0.12912536,-0.006342128,0.0,0.0,-0.20631579
705722494,-0.0049905325,0.125201,-0.0068614646,0.0,0.0,-0.20631579
705742238,-0.02194848,0.1287586,-0.008152115,0.0,0.0,-0.20631579
705762182,-0.03192622,0.13184495,-0.008077338,0.0,0.0,-0.20631579
705782094,-0.032376584,0.1320493,-0.00631294,0.0,0.0,-0.20631579
705801911,-0.029018113,0.1269066,-0.010103708,0.0,0.0,-0.20631579
705821681,-0.016354144,0.12462916,-0.008317456,0.0,0.0,-0.20631579
705841572,-0.024252666,0.13173553,-0.008263097,0.0,0.0,-0.20631579
705861522,-0.03340968,0.13367301,-0.008252679,0.0,0.0,-0.20631579
705881292,-0.029817266,0.12786472,-0.0078978,0.0,0.0,-0.20631579
705901088,-0.007437091,0.12556241,-0.008819783,0.0,0.0,-0.20736842
705920902,-0.023395231,0.12820509,-0.009665273,0.0,0.0,-0.20631579
705940768,-0.029595193,0.12712291,-0.008776131,0.0,0.0,-0.20631579
705960727,-0.026147591,0.1254634,-0.009011965,0.0,0.0,-0.20631579
705980650,-0.018497454,0.12331764,-0.00737593,0.0,0.0,-0.20736842
706005672,-0.036992285,0.12920497,-0.007593221,0.0,0.0,-0.20736842
706020266,-0.02434615,0.13303092,-0.008758492,0.0,0.0,-0.20736842
706040224,-0.033550818,0.13014631,-0.009590868,0.0,0.0,-0.20631579
706064999,-0.006450118,0.1274803,-0.009353369,0.0,0.0,-0.20631579
706079888,-0.021037364,0.13184623,-0.009774024,0.0,0.0,-0.20736842
706099682,-0.0177592,0.12476285,-0.01052436,0.0,0.0,-0.20736842
706124649,-0.007277988,0.124803424,-0.008913241,0.0,0.0,-0.20631579
706144417,-0.028871913,0.13139084,-0.009389368,0.0,0.0,-0.20631579
706159321,-0.025184833,0.12974325,-0.009690016,0.0,0.0,-0.20631579
706184118,-0.018653065,0.1275151,-0.01216129,0.0,0.0,-0.20631579
706203961,-0.020089671,0.12436275,-0.011909273,0.0,0.0,-0.20736842
706218944,-0.023933705,0.12233906,-0.012139615,0.0,0.0,-0.20631579
706238725,-0.0072036916,0.124555245,-0.009380539,0.0,0.0,-0.20736842
706263683,-0.009789116,0.122383505,-0.0113684675,0.0,0.0,-0.20736842
706283391,-0.023269493,0.123092405,-0.010572901,0.0,0.0,-0.20736842
706298350,-0.016093645,0.11889976,-0.01081701,0.0,0.0,-0.20736842
706323223,-0.037345093,0.12850006,-0.012848318,0.0,0.0,-0.20736842
706343085,-0.01127648,0.12543298,-0.012741159,0.0,0.0,-0.20736842
706357934,-0.017563507,0.13046859,-0.012849091,0.0,0.0,-0.20736842
706382625,-0.029800942,0.12609029,-0.010846069,0.0,0.0,-0.20736842
706402513,-0.011127606,0.12195758,-0.011503608,0.0,0.0,-0.20736842
706422418,-0.016167942,0.12229598,-0.0117931655,0.0,0.0,-0.20736842
706442308,-0.010660326,0.12893333,-0.013545289,0.0,0.0,-0.20736842
706462107,-0.02384543,0.12837407,-0.012053128,0.0,0.0,-0.20736842
706481981,-0.032576323,0.12454453,-0.011769312,0.0,0.0,-0.20736842
706501909,-0.02255842,0.124982655,-0.011786703,0.0,0.0,-0.20736842
706521841,-0.011513506,0.12644035,-0.01165536,0.0,0.0,-0.20736842
706541803,-0.019008903,0.12556548,-0.012385542,0.0,0.0,-0.20736842
706561523,-0.026552863,0.11917969,-0.010884096,0.0,0.0,-0.20736842
706581386,-0.005017474,0.124876425,-0.01113443,0.0,0.0,-0.20736842
706601169,-0.021863414,0.13017139,-0.011558857,0.0,0.0,-0.20736842
706620988,-0.03331448,0.13170132,-0.009442034,0.0,0.0,-0.20736842
706640883,-0.020239444,0.124608934,-0.009949569,0.0,0.0,-0.20736842
706660721,-0.027858235,0.12148947,-0.012360744,0.0,0.0,-0.20736842
706680607,-0.0086441785,0.12316199,-0.012268475,0.0,0.0,-0.20736842
706705398,-0.028756032,0.12196162,-0.010774319,0.0,0.0,-0.20736842
706720331,-0.027536612,0.12129122,-0.010549767,0.0,0.0,-0.20736842
706740208,-0.024038784,0.12548563,-0.011663236,0.0,0.0,-0.20736842
706765045,-0.034322873,0.12995647,-0.010532696,0.0,0.0,-0.20631579
706779994,-0.026557704,0.130097,-0.008559953,0.0,0.0,-0.20631579
706799971,-0.032214183,0.12646222,-0.010537209,0.0,0.0,-0.20631579
706824630,-0.020600962,0.12259972,-0.011379597,0.0,0.0,-0.20736842
706844514,-0.031057313,0.12362786,-0.01159412,0.0,0.0,-0.20736842
706859388,-0.025756039,0.11882751,-0.011310085,0.0,0.0,-0.20736842
706879223,-0.026933566,0.11710868,-0.011215246,0.0,0.0,-0.20736842
706904034,-0.023742694,0.12576996,-0.0111997165,0.0,0.0,-0.20736842
706919006,-0.018626712,0.12035656,-0.010730369,0.0,0.0,-0.20736842
706938862,-0.026593102,0.12403196,-0.009396762,0.0,0.0,-0.20736842
706963580,-0.0170236,0.115435384,-0.0116708055,0.0,0.0,-0.20631579
706983450,-0.018317163,0.11956944,-0.012798407,0.0,0.0,-0.20631579
706998379,-0.024111615,0.12352529,-0.013247176,0.0,0.0,-0.20631579
707023177,-0.025080265,0.110064924,-0.013914403,0.0,0.0,-0.20736842
707043026,-0.019426981,0.1158811,-0.011019196,0.0,0.0,-0.20736842
707057933,-0.021578986,0.11875728,-0.010538876,0.0,0.0,-0.20736842
707082778,-0.02427767,0.119510144,-0.009779917,0.0,0.0,-0.20631579
707102705,-0.017752072,0.12323899,-0.011130644,0.0,0.0,-0.20631579
707122599,-0.017679542,0.12954111,-0.01113547,0.0,0.0,-0.20631579
707142405,-0.022580944,0.12784903,-0.011138226,0.0,0.0,-0.20631579
707162288,-0.02357035,0.12108327,-0.010240262,0.0,0.0,-0.20631579
707182210,-0.021963155,0.11717179,-0.010573926,0.0,0.0,-0.20631579
707202064,-0.024135428,0.12235932,-0.012186414,0.0,0.0,-0.20631579
707221690,-0.03165346,0.121544115,-0.013189363,0.0,0.0,-0.20631579
707241614,-0.025845483,0.11910758,-0.012239215,0.0,0.0,-0.20631579
707261458,-0.022411728,0.12040267,-0.012028531,0.0,0.0,-0.20631579
707281331,-0.029959556,0.13048205,-0.012163409,0.0,0.0,-0.20631579
707301140,-0.033659063,0.12633668,-0.011575035,0.0,0.0,-0.20631579
707321151,-0.02502676,0.119321644,-0.011441887,0.0,0.0,-0.20631579
707341117,-0.016153269,0.11761649,-0.012725722,0.0,0.0,-0.20631579
707360864,-0.020321371,0.115634434,-0.012769398,0.0,0.0,-0.20736842
707380730,-0.0059460485,0.11282918,-0.011190923,0.0,0.0,-0.20631579
707405566,-0.028140018,0.12301509,-0.01114006,0.0,0.0,-0.20631579
707420477,-0.0244142,0.12184846,-0.010713419,0.0,0.0,-0.20631579
707440230,-0.032849133,0.124405906,-0.010917746,0.0,0.0,-0.20631579
707464972,-0.012153386,0.1242112,-0.012379944,0.0,0.0,-0.20631579
707479855,-0.026437698,0.123787776,-0.01149785,0.0,0.0,-0.20631579
707499789,-0.02899007,0.124246344,-0.011200342,0.0,0.0,-0.20631579
707524597,-0.0153742125,0.1142513,-0.010166395,0.0,0.0,-0.21473685
707544451,-0.015541348,0.11892913,-0.0100854905,0.0,0.0,-0.21473685
707559374,-0.021327335,0.12040494,-0.0109429555,0.0,0.0,-0.23052631
707579207,-0.024235351,0.11885498,-0.011552802,0.0,0.0,-0.23473684
707604264,-0.025023751,0.11845047,-0.010691687,0.0,0.0,-0.23473684
707619164,-0.018701347,0.1168726,-0.010578713,0.0,0.0,-0.23894736
707638871,-0.011336239,0.11807245,-0.0107432725,0.0,0.0,-0.23894736
707663678,-0.0255523,0.11714701,-0.012613712,0.0,0.0,-0.23894736
707683641,-0.030772472,0.11759878,-0.011490138,0.0,0.0,-0.24105264
707698508,-0.032480605,0.11852434,-0.010976865,0.0,0.0,-0.24105264
707723268,-0.020856071,0.112097055,-0.0106351115,0.0,0.0,-0.24631579
707743003,-0.025742635,0.111688726,-0.010763008,0.0,0.0,-0.25368422
707757879,-0.023653273,0.11315073,-0.011029019,0.0,0.0,-0.26105264
707782795,-0.018946249,0.11504201,-0.010538516,0.0,0.0,-0.26105264
707802678,-0.029694142,0.11884388,-0.012048978,0.0,0.0,-0.26105264
707822485,-0.027813893,0.11860238,-0.012823914,0.0,0.0,-0.26105264
707842347,-0.030835578,0.12061995,-0.011187484,0.0,0.0,-0.26105264
707862340,-0.024937065,0.111970074,-0.01119298,0.0,0.0,-0.26105264
707882256,-0.018575242,0.112406634,-0.011310364,0.0,0.0,-0.26105264
707902022,-0.018906925,0.11783195,-0.01054275,0.0,0.0,-0.26105264
707921813,-0.017685518,0.11309757,-0.010747221,0.0,0.0,-0.26105264
707941662,-0.020660141,0.116800636,-0.009907075,0.0,0.0,-0.26105264
707961583,-0.027627498,0.11776586,-0.008858666,0.0,0.0,-0.26210526
707981388,-0.022291182,0.110761546,-0.011895437,0.0,0.0,-0.2631579
708001261,-0.019786242,0.11526564,-0.011397091,0.0,0.0,-0.2863158
708021080,-0.018487297,0.1089919,-0.011179728,0.0,0.0,-0.2936842
708041063,-0.014704943,0.107198596,-0.010271638,0.0,0.0,-0.29789472
708060848,-0.021289708,0.114680186,-0.011067736,0.0,0.0,-0.2989474
708080690,-0.02044421,0.10862458,-0.0134682255,0.0,0.0,-0.3
708105496,-0.01771041,0.10445596,-0.013593537,0.0,0.0,-0.30105263
708120435,-0.015358788,0.099233806,-0.013248867,0.0,0.0,-0.30105263
708140419,-0.015642105,0.10178117,-0.012326492,0.0,0.0,-0.3031579
708165274,-0.018729517,0.10203635,-0.012133913,0.0,0.0,-0.3031579
708180006,-0.013731066,0.1023273,-0.012086111,0.0,0.0,-0.3094737
708199847,-0.017435217,0.10126563,-0.013531272,0.0,0.0,-0.31368423
708219736,-0.009521592,0.09970316,-0.012324982,0.0,0.0,-0.31473684
708244678,-0.018675663,0.10317731,-0.013337875,0.0,0.0,-0.31473684
708259563,-0.0129124895,0.105550185,-0.011690824,0.0,0.0,-0.31473684
708279371,-0.018376993,0.10000186,-0.010369662,0.0,0.0,-0.31578946
708304114,-0.008996726,0.09576393,-0.010966914,0.0,0.0,-0.32105264
708319063,-0.0038510384,0.09219471,-0.010519406,0.0,0.0,-0.32105264
708338776,-0.0051243966,0.089983486,-0.011004926,0.0,0.0,-0.34
708363592,-0.003070596,0.078855515,-0.010481855,0.0,0.0,-0.34210527
708383519,-0.0042096116,0.08587245,-0.010622588,0.0,0.0,-0.3431579
708398473,0.00050010136,0.08699938,-0.011971194,0.0,0.0,-0.34526318
708423378,-0.0068515963,0.08980381,-0.012836858,0.0,0.0,-0.34526318
708443101,-0.0011265577,0.07855051,-0.0128996195,0.0,0.0,-0.34526318
708458076,-0.00045576153,0.07525264,-0.012206944,0.0,0.0,-0.34526318
708482909,-0.015432092,0.08746407,-0.013565339,0.0,0.0,-0.34526318
708502769,-0.010528126,0.09174784,-0.013108222,0.0,0.0,-0.3463158
708522566,-0.0070867967,0.09055188,-0.013714174,0.0,0.0,-0.3463158
708542438,-0.014629916,0.094197825,-0.013757046,0.0,0.0,-0.3463158
708562311,-0.0063324207,0.082147874,-0.015428055,0.0,0.0,-0.34736842
708582169,0.0004861937,0.07965166,-0.018208466,0.0,0.0,-0.35894737
