timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
703860842,703860,1,1,1,0,0,0,0,0
704363342,703860,1,1,1,0,0,0,0,0
704869984,703860,1,1,1,0,0,0,0,0
705379310,703860,1,1,1,0,0,0,0,0
705885036,703860,1,1,1,0,0,0,0,0
706391983,703860,1,1,1,0,0,0,0,0
706901030,703860,1,1,1,0,0,0,0,0
707409019,703860,1,1,1,0,0,0,0,0
707918167,703860,1,1,1,0,0,0,0,0
708424980,703860,1,1,1,0,0,0,0,0
708932188,703860,1,1,1,0,0,0,0,0
709440022,703860,1,1,1,0,0,0,0,0
709948197,703860,1,1,1,0,0,0,0,0
710455014,703860,1,1,1,0,0,0,0,0
710964053,703860,1,1,1,0,0,0,0,0
711470979,703860,1,1,1,0,0,0,0,0
711980025,703860,1,1,1,0,0,0,0,0
712490073,703860,1,1,1,0,0,0,0,0
712997310,703860,1,1,1,0,0,0,0,0
713504979,703860,1,1,1,0,0,0,0,0
714014375,703860,1,1,1,0,0,0,0,0
714521134,703860,1,1,1,0,0,0,0,0
715028977,703860,1,1,1,0,0,0,0,0
715539201,703860,1,1,1,0,0,0,0,0
716045984,703860,1,1,1,0,0,0,0,0
716553139,703860,1,1,1,0,0,0,0,0
717060137,703860,1,1,1,0,0,0,0,0
717566983,703860,1,1,1,0,0,0,0,0
718075040,703860,1,1,1,0,0,0,0,0
718582042,703860,1,1,1,0,0,0,0,0
719090982,703860,1,1,1,0,0,0,0,0
719599621,703860,1,1,1,0,0,0,0,0
720107022,703860,1,1,1,0,0,0,0,0
720615002,703860,1,1,1,0,0,0,0,0
721123907,703860,1,1,1,0,0,0,0,0
721629984,703860,1,1,1,0,0,0,0,0
722138019,703860,1,1,1,0,0,0,0,0
722646108,703860,1,1,1,0,0,0,0,0
723154683,703860,1,1,1,0,0,0,0,0
723662119,703860,1,1,1,0,0,0,0,0
724163900,703860,1,1,1,0,0,0,0,0
724674901,703860,1,1,1,0,0,0,0,0
725177021,703860,1,1,1,0,0,0,0,0
725679054,703860,1,1,1,0,0,0,0,0
726187072,703860,1,1,1,0,0,0,0,0
726695112,703860,1,1,1,0,0,0,0,0
727202982,703860,1,1,1,0,0,0,0,0
727710084,703860,1,1,1,0,0,0,0,0
728216046,703860,1,1,1,0,0,0,0,0
728725091,703860,1,1,1,0,0,0,0,0
729233122,703860,1,1,1,0,0,0,0,0
729741096,703860,1,1,1,0,0,0,0,0
730248986,703860,1,1,1,0,0,0,0,0
730757982,703860,1,1,1,0,0,0,0,0
731265298,703860,1,1,1,0,0,0,0,0
