timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
703921111,703920859,-0.0055546397,0.024817372,0.006805463,0.0,0.0,0.0,0.0,-1.0
703922348,703922098,-0.004238094,0.01977957,0.00721607,0.0,0.0,0.0,0.0,-1.0
704024122,704023873,0.0018833702,0.010620399,-0.004384957,0.0,0.0,0.0,0.0,-1.0
704122175,704121932,-0.034630965,0.018762687,-0.0087244315,0.0,0.0,0.0,0.0,-1.0
704222711,704222466,0.049313203,0.008566899,0.0017784935,0.0,0.0,0.0,0.0,-1.0
704324490,704324245,-0.036345243,0.018906446,-0.0048235613,0.0,0.0,0.0,0.0,-1.0
704422548,704422301,-0.030103443,0.02090569,-0.010891862,0.0,0.0,0.0,0.0,-1.0
704524324,704524080,0.004377359,0.027781742,0.010634565,0.0,0.0,0.0,0.0,-1.0
704622393,704622152,-0.012711566,0.014459034,0.0012547591,0.0,0.0,0.0,0.0,-1.0
704724166,704723919,0.011677715,0.037672624,-0.0013636455,0.0,0.0,0.0,0.0,-1.0
704822221,704821970,-0.023593372,0.015238214,0.008014132,0.0,0.0,0.0,0.0,-1.0
704925421,704925174,0.017781815,0.03246449,-0.0017494988,0.0,0.0,0.0,0.0,-1.0
705024528,705024285,-0.029813325,0.010055969,-0.00018198778,0.0,0.0,0.0,0.0,-1.0
705122587,705122342,0.030328944,0.027735269,0.0032563799,0.0,0.0,0.0,0.0,-1.0
705224361,705224119,-0.034552176,0.011011782,-0.01028123,0.01623011,0.0,0.0,0.0,-1.0
705322419,705322174,0.017116329,0.024313249,0.01071456,0.08988984,0.0,0.0,0.0,-1.0
705424212,705423956,0.029016176,-0.057765067,0.0067774053,0.20421053,0.0,0.0,0.0,-1.0
705522270,705522011,-0.065412164,0.038132068,0.0065100156,0.20631579,0.0,0.0,0.0,-1.0
705622794,705622546,-0.018565403,-0.035768252,-0.009170681,0.20631579,0.0,0.0,0.0,-1.0
705724696,705724456,0.035183586,0.036032423,-0.004751368,0.20631579,0.0,0.0,0.0,-1.0
705822647,705822401,0.06977092,0.007831758,-0.0043480475,0.20631579,0.0,0.0,0.0,-1.0
705924453,705924212,-0.074756615,0.022356573,-0.0007734566,0.20631579,0.0,0.0,0.0,-1.0
706022461,706022214,-0.08909719,0.07224828,-0.00083611597,0.20736842,0.0,0.0,0.0,-1.0
