timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
431858562,0.0,0.0,0.0,0.0
431861089,0.0,0.0,0.0,0.0
432061303,-0.00364283,0.000643377,2.76446e-05,0.0
432261529,-0.00364283,-0.00025338,1.38271e-05,0.0
432461775,-0.0138515,0.00213946,0.000528038,0.0
432659501,-0.0178774,0.00413924,0.000942979,0.0
432864760,-0.0285326,0.00578582,0.00128579,0.0
433059976,-0.030284,0.00673668,0.00150313,0.0
433260231,-0.0377249,0.00989865,0.00251356,0.0
433462953,-0.0418073,0.0112782,0.00318453,0.0
433660680,-0.0442546,0.0129671,0.00372889,0.0
433860920,-0.0442546,0.0158685,0.00388968,0.0
434061170,-0.0493702,0.0200356,0.00465188,0.0
434261407,-0.0580631,0.0224098,0.0057871,0.0
434459131,-0.0589486,0.0247636,0.00598121,0.0
434661869,-0.0625219,0.0222214,0.00622622,0.0
434862112,-0.0663546,0.0258596,0.0069698,0.0
435062341,-0.0637101,0.0265856,0.007987,0.0
435260069,-0.0434983,0.0234709,0.00910435,0.0
435460305,-0.0151461,0.0192487,0.00972533,0.0
435660534,-0.00843579,0.0189383,0.010545,0.0
435860781,-0.0219947,0.0143728,0.0124503,0.0
436063519,-0.0140681,0.0100306,0.0133667,0.0
436261255,0.000861734,0.0106638,0.0138861,0.0
436461478,0.00219951,0.0121013,0.0145492,0.0
436661714,0.00269788,0.00916941,0.0152349,0.0
436859456,0.00922415,0.00549715,0.0152176,0.0
437059687,0.000641028,0.005325,0.0154031,0.0
437259927,0.00519389,0.00312465,0.0153436,0.0
437462658,0.00396852,0.00552868,0.0144798,0.0
437662901,-0.00238592,0.00731812,0.0137172,0.0
437860630,0.00495053,0.0051294,0.0128892,0.0
438060865,0.00120005,0.00366726,0.0118139,0.0
438261106,-0.000632835,0.00358254,0.0113014,0.0
438461353,0.00129648,0.00114093,0.0103745,0.0
438659078,0.00961001,-3.78361e-05,0.00893601,0.0
438861808,0.0165153,-0.000656293,0.00646012,0.0
439062047,0.00251835,0.00276823,0.00522772,0.0
439262292,0.00554121,-0.00366099,0.00423295,0.0
439460012,-0.00180238,0.00392257,0.00298787,0.0
439660252,0.00873211,0.0118374,0.00151409,0.0
439860483,-0.00943741,0.0192354,-0.000349398,0.0
440060742,0.00521595,0.0123345,-0.00310221,0.0
440260956,0.000709067,0.015514,-0.00615079,0.0
440461186,-0.000288594,0.0201689,-0.00831178,0.0
440658935,0.00399102,0.0165387,-0.009221,0.0
440861656,-0.0125076,0.0204631,-0.00847702,0.0
441061894,0.0180377,0.0219153,-0.00824625,0.0
441259629,0.00665582,0.0189929,-0.00714177,0.0
441459876,-0.0113814,0.017726,-0.00639341,0.0
441660115,-0.00557707,0.0182925,-0.00709544,0.0
441862832,0.00137274,0.0182737,-0.00810387,0.0
442060569,0.00167877,0.0215686,-0.00792031,0.0
442260802,0.0163643,0.0161608,-0.00660428,0.0
442461040,0.00932573,0.0145103,-0.00628299,0.0
442661301,0.0122522,0.0123799,-0.00585457,0.0
442859001,0.00495973,0.00999843,-0.00437761,0.0
443061746,-0.00270648,0.00715022,-0.000964821,0.0
443261994,0.00459992,0.0214782,0.00220469,0.0
443464718,-0.0101496,0.027636,0.00525838,0.0
443659942,0.00650863,0.0227607,0.00655641,0.0
443860177,-0.0170371,0.0269607,0.00467472,0.0
444060412,0.00278449,0.02229,0.00219057,0.0
444260647,-0.0112702,0.022709,-0.000390167,0.0
444463399,-0.00280473,0.0153907,-0.00124151,0.0
444661135,-5.77092e-05,0.0246522,-0.00115566,0.0
444861366,-0.0125978,0.0249105,-0.00117971,0.0
445061608,0.0101345,0.0259875,0.000692689,0.0
445261828,-0.0192438,0.0322375,0.00294845,0.0
445459560,0.000730161,0.0337864,0.00482356,0.0
445659795,-0.00257767,0.0328196,0.00493645,0.0
445862541,-0.00540037,0.0226292,0.00398078,0.0
446062761,0.0116919,0.0178825,0.00156757,0.0
446260500,-0.00987198,0.017956,-0.00177041,0.0
446460735,0.0232127,0.0199697,-0.00410695,0.0
446660968,0.0059227,0.0247339,-0.00554492,0.0
446861206,0.00922124,0.0310414,-0.00699976,0.0
447058934,-0.00569071,0.02439,-0.0101048,0.0
447261674,0.000365419,0.0261645,-0.0133658,0.0
447461906,0.00959717,0.0214265,-0.0170622,0.0
447662144,0.000367926,0.0294948,-0.0204319,0.0
447862378,0.00661941,0.0278251,-0.0232277,0.0
448060112,0.00424931,0.0262308,-0.0264151,0.0
448260363,0.00308479,0.0259145,-0.0280455,0.0
448460575,0.013927,0.0266197,-0.0313904,0.0
448663334,0.0156647,0.0274345,-0.0342267,0.0
448861055,0.00717935,0.0297038,-0.0365115,0.0
449061284,0.0176554,0.0255979,-0.0385002,0.0
449261514,0.0160579,0.0308579,-0.0396758,0.0
449461763,0.0179175,0.0320532,-0.0391778,0.0
449659481,0.0198155,0.0323392,-0.0373159,0.0
449859716,0.00645913,0.036213,-0.0350474,0.0
450062450,0.0121451,0.0382932,-0.0338336,0.0
450262718,0.00453337,0.0369496,-0.0339648,0.0
450460420,0.00247568,0.0336331,-0.0341118,0.0
450660656,-0.00105516,0.0330863,-0.034155,0.0
450860894,-0.0191102,0.0290416,-0.0340195,0.0
451061132,-0.00824436,0.0280272,-0.0338515,0.0
451258865,-0.00212866,0.0237314,-0.033745,0.0
451461599,0.00325298,0.0270761,-0.0345704,0.0
451661834,0.000527243,0.0216908,-0.0353279,0.0
451862069,-0.0106798,0.0286271,-0.03602,0.0
452062334,-0.0167959,0.0255558,-0.0362158,0.0
452260034,-0.0339907,0.0287685,-0.0359961,0.0
452460282,-0.0296375,0.0270028,-0.0357567,0.0
452660499,-0.0245254,0.0277256,-0.0356989,0.0
452863246,-0.014252,0.0263418,-0.0361281,0.0
453060966,-0.0122774,0.0266404,-0.0369238,0.0
453261207,-0.0174589,0.0236391,-0.0381719,0.0
453461439,-0.00619709,0.0265458,-0.0396883,0.0
453661670,-0.0144375,0.0264159,-0.042204,0.0
453859409,-0.0288081,0.0250492,-0.0437755,0.0
454059645,-0.0246133,0.0254736,-0.0453092,0.0
454262385,-0.0118913,0.0288095,-0.046539,0.0
454462618,-0.0299233,0.0293535,-0.0470908,0.0
454662849,-0.0338132,0.0287339,-0.04666,0.0
454860585,-0.0213736,0.0322711,-0.0450315,0.0
455060823,-0.0190969,0.0250786,-0.0430383,0.0
455261056,-0.0108149,0.0276056,-0.0406502,0.0
455458789,-0.00831487,0.0248789,-0.0384743,0.0
455661527,-0.0134513,0.0290615,-0.0358783,0.0
455861763,-0.00630127,0.0233252,-0.0332689,0.0
456062000,-0.0213829,0.0310773,-0.0316589,0.0
456262253,-0.0033143,0.0280936,-0.0303575,0.0
456459967,-0.00600013,0.0289692,-0.0310017,0.0
456660194,-0.00605024,0.0283558,-0.0317133,0.0
456860432,0.000102745,0.0263782,-0.0323136,0.0
457063176,-0.00378213,0.0290665,-0.0333437,0.0
457263431,-0.00265078,0.0313114,-0.0332022,0.0
457461136,-0.0210478,0.0306685,-0.0326015,0.0
457661374,-0.0111347,0.0343682,-0.0321482,0.0
457861614,-0.00716448,0.038207,-0.0324394,0.0
458059362,-0.0129686,0.0379637,-0.0329666,0.0
458259581,-0.00521326,0.0390502,-0.0334747,0.0
458462322,0.00017119,0.0366445,-0.0341755,0.0
458662551,-0.0152438,0.0357956,-0.0347104,0.0
458862820,0.00432059,0.0382377,-0.0355043,0.0
459060523,-0.0141606,0.0323936,-0.0359673,0.0
459260766,-0.0124572,0.0401098,-0.0365478,0.0
459460995,-0.0114473,0.0398541,-0.0370027,0.0
459658727,-0.0205339,0.0336607,-0.037039,0.0
459861473,-0.0105613,0.0305658,-0.0361322,0.0
460061711,-0.0219099,0.0291561,-0.0341946,0.0
460261940,-0.0197874,0.0273263,-0.0315578,0.0
460462178,-0.0152721,0.0291209,-0.029737,0.0
460659904,-0.0182317,0.0267816,-0.0285774,0.0
460860141,-0.0154544,0.0268985,-0.0279346,0.0
461060377,-0.00820872,0.0309651,-0.0279805,0.0
461263136,-0.00932165,0.0307978,-0.0279894,0.0
461463378,-0.0240883,0.035711,-0.028456,0.0
461661092,-0.0282778,0.0301534,-0.0292038,0.0
461861330,-0.020292,0.0323576,-0.0299802,0.0
462061558,-0.0258918,0.0310165,-0.0313043,0.0
462259309,-0.00470362,0.0331789,-0.0333285,0.0
462459533,-0.00944913,0.0333943,-0.0348361,0.0
462662278,-0.0137184,0.0301287,-0.0362306,0.0
462862505,-0.0138844,0.0294866,-0.036537,0.0
463062751,-0.0125674,0.0312816,-0.0364343,0.0
