timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
427259933,0.090682,0.307943,0.446384
427271079,0.0845199,0.319886,0.476166
427461075,0.0721959,0.307943,0.443406
427662303,0.0814389,0.319886,0.458297
427863373,0.0845199,0.301972,0.428515
428064565,0.0660338,0.307943,0.431493
428265715,0.0814389,0.3169,0.449362
428455799,0.0660338,0.307943,0.434471
428656887,0.0876009,0.313915,0.443406
428858852,0.090682,0.313915,0.440428
429060327,0.0814389,0.304958,0.41958
429261716,0.0752769,0.307943,0.434471
429462774,0.0783579,0.3169,0.446384
429663815,0.0814389,0.304958,0.422558
429865097,0.0660338,0.307943,0.437449
430066132,0.0660338,0.301972,0.401711
430256229,0.0660338,0.304958,0.398732
430457312,0.0691148,0.304958,0.401711
430658464,0.0660338,0.304958,0.398732
430859887,0.0691148,0.301972,0.401711
431060832,0.0660338,0.304958,0.395754
431261998,0.0660338,0.304958,0.407667
431463334,0.0660338,0.304958,0.404689
431665509,0.0660338,0.304958,0.404689
431855597,0.0660338,0.301972,0.401711
432056734,0.0660338,0.304958,0.401711
432257908,0.0629528,0.304958,0.395754
432459226,0.0660338,0.301972,0.395754
432660236,0.0691148,0.304958,0.404689
432861340,0.0691148,0.304958,0.398732
433062692,0.0660338,0.304958,0.395754
433263885,0.0660338,0.304958,0.398732
433453685,0.0660338,0.304958,0.404689
433654890,0.0660338,0.304958,0.407667
433856237,0.0660338,0.301972,0.401711
434057373,0.0660338,0.304958,0.401711
434258412,0.0660338,0.304958,0.401711
434460715,0.0629528,0.304958,0.398732
434662127,0.0691148,0.304958,0.401711
434863276,0.0691148,0.304958,0.398732
435053324,0.0629528,0.304958,0.401711
435265611,0.0660338,0.301972,0.395754
435455636,0.0691148,0.301972,0.398732
435656721,0.0660338,0.304958,0.398732
435857905,0.0629528,0.304958,0.404689
436059085,0.0691148,0.304958,0.395754
436260231,0.0660338,0.304958,0.398732
436461356,0.0660338,0.304958,0.395754
436662372,0.0660338,0.304958,0.401711
436863830,0.0691148,0.304958,0.401711
437064696,0.0660338,0.304958,0.398732
437254783,0.0691148,0.301972,0.398732
437456757,0.0629528,0.304958,0.395754
437657987,0.0660338,0.304958,0.401711
437859454,0.0691148,0.304958,0.404689
438060695,0.0660338,0.304958,0.395754
438261929,0.0660338,0.304958,0.404689
438463075,0.0691148,0.304958,0.404689
438653085,0.0660338,0.304958,0.401711
438854189,0.0629528,0.304958,0.401711
439066460,0.0691148,0.304958,0.401711
439256490,0.0660338,0.304958,0.392776
439457768,0.0660338,0.307943,0.404689
439658779,0.0660338,0.304958,0.395754
439860265,0.0660338,0.304958,0.404689
440061403,0.0660338,0.304958,0.395754
440263466,0.0691148,0.307943,0.401711
440464662,0.0691148,0.304958,0.398732
440654780,0.0660338,0.304958,0.398732
440867112,0.0691148,0.304958,0.398732
441057171,0.0660338,0.304958,0.395754
441258276,0.0691148,0.304958,0.395754
441459377,0.0721959,0.304958,0.401711
441660490,0.0691148,0.304958,0.398732
441861838,0.0691148,0.304958,0.401711
442062828,0.0691148,0.304958,0.395754
442263963,0.0691148,0.304958,0.401711
442465371,0.0691148,0.304958,0.404689
442666567,0.0721959,0.304958,0.395754
442856352,0.0721959,0.301972,0.401711
443058411,0.0752769,0.304958,0.398732
443259856,0.0660338,0.304958,0.398732
443461231,0.0691148,0.304958,0.401711
443662465,0.0721959,0.301972,0.401711
443863555,0.0752769,0.301972,0.401711
444064801,0.0783579,0.301972,0.392776
444265825,0.0752769,0.301972,0.404689
444455906,0.0845199,0.304958,0.395754
444657008,0.0876009,0.301972,0.401711
444858210,0.0845199,0.301972,0.395754
445059301,0.096844,0.301972,0.395754
445260513,0.112249,0.301972,0.395754
445461827,0.109168,0.307943,0.398732
445662886,0.103006,0.307943,0.404689
445863920,0.0783579,0.304958,0.398732
446054766,0.0691148,0.298987,0.401711
446255926,0.0691148,0.298987,0.410645
446457392,0.0660338,0.298987,0.404689
446658561,0.0814389,0.304958,0.398732
446859869,0.093763,0.307943,0.389798
447061078,0.103006,0.319886,0.38682
447262263,0.103006,0.3169,0.389798
447463253,0.106087,0.346756,0.383841
447664504,0.109168,0.3169,0.389798
447865783,0.124573,0.307943,0.392776
448055756,0.090682,0.307943,0.395754
448256683,0.0814389,0.301972,0.401711
448457926,0.0814389,0.304958,0.401711
448659243,0.0814389,0.3378,0.38682
448861439,0.093763,0.3378,0.389798
449062588,0.093763,0.310929,0.392776
449263935,0.118411,0.307943,0.398732
449465073,0.118411,0.304958,0.395754
449655126,0.0814389,0.301972,0.407667
449856120,0.11533,0.301972,0.398732
450057434,0.118411,0.275102,0.41958
450258652,0.118411,0.248231,0.437449
450459652,0.118411,0.248231,0.437449
450660745,0.121492,0.278087,0.422558
450862042,0.0783579,0.304958,0.404689
451063275,0.0814389,0.307943,0.398732
451264430,0.093763,0.313915,0.392776
451454275,0.103006,0.307943,0.392776
451656349,0.121492,0.313915,0.389798
451857850,0.130735,0.331828,0.38682
452059084,0.130735,0.346756,0.374907
452260304,0.118411,0.319886,0.383841
452461583,0.121492,0.352728,0.374907
452662763,0.11533,0.346756,0.383841
452863802,0.090682,0.3169,0.395754
453053790,0.0783579,0.304958,0.404689
453255002,0.0814389,0.304958,0.398732
453456231,0.096844,0.304958,0.398732
453657239,0.093763,0.310929,0.398732
453858315,0.103006,0.304958,0.398732
454059589,0.124573,0.304958,0.398732
454260873,0.112249,0.304958,0.398732
454461950,0.096844,0.301972,0.404689
454653076,0.093763,0.301972,0.404689
454865558,0.093763,0.296001,0.416602
455055372,0.096844,0.301972,0.404689
455256505,0.096844,0.296001,0.413624
455457724,0.099925,0.296001,0.416602
455659073,0.130735,0.304958,0.404689
455860275,0.109168,0.304958,0.404689
456061266,0.103006,0.307943,0.401711
456262524,0.096844,0.349742,0.383841
456463807,0.090682,0.307943,0.401711
456653737,0.093763,0.307943,0.398732
456854688,0.090682,0.304958,0.401711
457067122,0.0876009,0.310929,0.398732
457257270,0.0721959,0.307943,0.401711
457459432,0.0598718,0.307943,0.404689
457660578,0.093763,0.310929,0.398732
457861835,0.103006,0.313915,0.395754
458063121,0.0567908,0.307943,0.398732
