timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
427091936,1603343150000434,340356402,1087574185,421533,393618,0.203,0.641773,0.754,1.177,0.58,1.01,79,7,0.023,-0.007,0.022,-0.034,4.71311,0,nan,0.0,3,1,20
427287935,1603343150200434,340356402,1087574187,421478,393563,0.214,0.641782,0.751,1.174,0.58,1.01,79,7,0.026,0.022,-0.015,-0.077,4.71311,0,nan,0.0,3,1,20
428078169,1603343151000434,340356398,1087574194,421141,393227,0.215,0.641819,0.739,1.162,0.6,1.01,85,7,0.045,-0.016,0.042,-0.088,4.71311,0,nan,0.0,3,1,19
429090947,1603343152000433,340356390,1087574206,420737,392822,0.186,0.641865,0.724,1.144,0.58,1.01,85,6,0.055,0.014,-0.053,-0.094,4.71311,0,nan,0.0,3,1,20
430088973,1603343153000433,340356381,1087574215,420423,392508,0.156,0.641906,0.712,1.13,0.58,1.01,90,3,0.032,-0.029,0.014,0.015,4.71311,0,nan,0.0,3,1,20
431097165,1603343154000432,340356376,1087574224,420079,392165,0.214,0.641947,0.705,1.126,0.59,1.01,90,2,0.049,-0.002,0.049,-0.059,4.71311,0,nan,0.0,3,1,19
432083174,1603343155000431,340356373,1087574236,419772,391857,0.136,0.641988,0.696,1.115,0.58,1.01,90,2,0.042,-0.017,0.038,0.003,4.71311,0,nan,0.0,3,1,20
433085941,1603343156000431,340356370,1087574245,419425,391510,0.214,0.642034,0.688,1.106,0.58,1.01,91,3,0.008,0.008,-0.002,0.012,4.71311,0,nan,0.0,3,1,20
434088933,1603343157000430,340356366,1087574251,419107,391193,0.228,0.642079,0.681,1.099,0.58,1.01,96,3,0.012,-0.011,-0.003,0.052,4.71311,0,nan,0.0,3,1,20
435086986,1603343158000430,340356363,1087574255,418819,390904,0.214,0.64212,0.676,1.096,0.58,1.01,96,3,0.021,-0.009,-0.019,-0.037,4.71311,0,nan,0.0,3,1,20
436092777,1603343159000429,340356360,1087574260,418609,390694,0.232,0.642166,0.674,1.1,0.58,1.01,110,4,0.032,0.007,-0.031,-0.076,4.71311,0,nan,0.0,3,1,20
437110939,1603343160000428,340356358,1087574262,418426,390512,0.198,0.642208,0.673,1.105,0.57,0.98,110,3,0.023,0.016,0.016,0.021,4.71311,0,nan,0.0,3,1,21
438090961,1603343161000428,340356355,1087574265,418283,390369,0.202,0.642255,0.672,1.109,0.57,0.98,103,3,0.029,-0.029,0.004,0.031,4.71311,0,nan,0.0,3,1,21
439090195,1603343162000427,340356352,1087574268,418178,390263,0.231,0.642297,0.669,1.111,0.57,0.98,103,3,0.029,-0.025,-0.015,0.073,4.71311,0,nan,0.0,3,1,21
440091942,1603343163000427,340356350,1087574266,418059,390144,0.245,0.642348,0.667,1.113,0.57,0.98,103,4,0.02,0.02,-0.001,0.091,4.71311,0,nan,0.0,3,1,21
441098937,1603343164000426,340356349,1087574265,417978,390063,0.24,0.642392,0.665,1.113,0.57,0.98,103,7,0.009,-0.005,-0.007,0.058,4.71311,0,nan,0.0,3,1,21
442095949,1603343165000425,340356348,1087574263,417862,389947,0.185,0.642437,0.663,1.113,0.57,0.96,102,3,0.031,0.028,0.013,-0.022,4.71311,0,nan,0.0,3,1,21
443113957,1603343166000425,340356347,1087574261,417762,389847,0.178,0.642478,0.661,1.115,0.57,0.96,102,8,0.052,-0.048,0.021,0.034,4.71311,0,nan,0.0,3,1,21
444095964,1603343167000424,340356346,1087574258,417685,389770,0.231,0.642525,0.66,1.115,0.57,0.96,102,6,0.031,0.017,0.026,0.076,4.71311,0,nan,0.0,3,1,21
445115939,1603343168000424,340356343,1087574260,417615,389700,0.147,0.642557,0.656,1.112,0.57,0.96,102,4,0.077,-0.016,0.075,0.015,4.71311,0,nan,0.0,3,1,21
446090097,1603343169000423,340356344,1087574240,417881,389967,0.134,0.37871,0.65,1.102,0.57,0.96,91,3,0.348,0.062,-0.343,-0.147,4.84729,0,nan,0.0,3,1,21
447100031,1603343170000422,340356336,1087574207,418334,390419,0.205,0.528337,0.645,1.089,0.57,0.96,91,4,0.223,-0.144,-0.171,-0.381,4.13707,0,nan,0.0,3,1,21
448085935,1603343171000422,340356347,1087574169,419082,391168,0.199,0.30933,0.64,1.076,0.57,0.96,91,3,0.444,0.214,-0.39,-0.76,5.2586,0,nan,0.0,3,1,21
449102045,1603343172000421,340356375,1087574130,420116,392202,0.208,0.21113,0.636,1.065,0.57,0.96,91,4,0.637,0.576,-0.272,-0.862,5.80916,0,nan,0.0,3,1,21
450090987,1603343173000421,340356406,1087574095,420549,392635,0.139,0.444755,0.633,1.055,0.58,0.99,91,4,0.282,0.139,-0.245,-0.136,5.402,0,nan,0.0,3,1,20
451092105,1603343174000420,340356393,1087574031,420529,392614,0.153,0.149036,0.627,1.044,0.58,0.99,91,4,0.907,-0.444,-0.791,0.261,4.26104,0,nan,0.0,3,1,20
452090496,1603343175000419,340356361,1087573935,420340,392425,0.149,0.12756,0.623,1.036,0.58,0.99,97,3,1.269,-0.197,-1.254,0.243,4.42579,0,nan,0.0,3,1,20
453089976,1603343176000419,340356377,1087573791,420205,392291,0.116,0.100211,0.62,1.026,0.58,0.99,97,3,1.377,0.341,-1.334,-0.33,4.95222,0,nan,0.0,3,1,20
454088971,1603343177000418,340356417,1087573670,420837,392922,0.157,0.141468,0.616,1.021,0.58,0.99,97,7,1.097,0.355,-1.038,-0.742,5.06593,0,nan,0.0,3,1,20
455100652,1603343178000418,340356453,1087573553,421530,393615,0.141,0.171381,0.613,1.013,0.58,0.99,97,6,0.833,0.187,-0.811,-0.537,4.99062,0,nan,0.0,3,1,20
456089938,1603343179000417,340356448,1087573472,421872,393958,0.115,0.150386,0.609,1.004,0.57,0.96,97,4,0.865,-0.198,-0.842,-0.1,4.50543,0,nan,0.0,3,1,21
457087920,1603343180000416,340356445,1087573417,421679,393764,0.201,0.359595,0.605,0.995,0.57,0.96,97,3,0.398,0.183,-0.353,0.428,4.98547,0,nan,0.0,3,1,21
458092941,1603343181000416,340356448,1087573399,421012,393098,0.219,0.39786,0.601,0.987,0.57,0.96,103,3,0.328,0.281,-0.168,0.761,5.43333,0,nan,0.0,3,1,21
459106042,1603343182000415,340356449,1087573383,420725,392810,0.162,0.653506,0.599,0.98,0.57,0.96,94,4,0.125,0.019,-0.124,-0.116,4.73588,0,nan,0.0,3,1,21
460097938,1603343183000415,340356445,1087573351,421104,393190,0.181,0.221666,0.595,0.975,0.57,0.96,100,3,0.589,-0.057,-0.586,-0.63,4.57154,0,nan,0.0,3,1,21
461109034,1603343184000414,340356450,1087573278,421910,393996,0.186,0.200872,0.592,0.969,0.57,0.96,107,4,0.604,-0.078,-0.599,-0.685,4.65553,0,nan,0.0,3,1,21
462085945,1603343185000413,340356445,1087573197,422530,394615,0.122,0.143092,0.59,0.965,0.57,0.96,108,4,0.864,-0.185,-0.844,-0.3,4.5736,0,nan,0.0,3,1,21
463101046,1603343186000413,340356444,1087573120,422837,394922,0.144,0.287075,0.588,0.965,0.57,0.96,107,5,0.579,0.138,-0.562,-0.287,4.75012,0,nan,0.0,3,1,21
464096948,1603343187000412,340356456,1087573076,422981,395066,0.144,0.266668,0.586,0.961,0.57,0.96,107,4,0.514,0.148,-0.492,0.089,4.95442,0,nan,0.0,3,1,21
465100942,1603343188000412,340356465,1087573038,422545,394630,0.245,0.472249,0.585,0.957,0.57,0.96,107,4,0.173,0.022,-0.172,0.83,4.89156,0,nan,0.0,3,1,21
466092971,1603343189000411,340356465,1087573028,422169,394254,0.164,0.370552,0.583,0.955,0.57,0.96,107,3,0.325,-0.179,-0.271,0.196,4.294,0,nan,0.0,3,1,21
467116481,1603343190000410,340356456,1087572975,422113,394198,0.128,0.241511,0.581,0.954,0.57,0.96,107,5,0.547,-0.129,-0.532,-0.112,4.54229,0,nan,0.0,3,1,21
468097951,1603343191000410,340356462,1087572933,422152,394237,0.149,0.532466,0.579,0.954,0.57,0.96,107,4,0.276,0.117,-0.25,-0.182,4.97903,0,nan,0.0,3,1,21
469091156,1603343192000409,340356479,1087572892,422239,394325,0.123,0.218985,0.58,0.957,0.57,0.96,91,4,0.613,0.2,-0.579,-0.034,5.09985,0,nan,0.0,3,1,21
470093934,1603343193000409,340356497,1087572797,422392,394477,0.116,0.116081,0.58,0.959,0.57,0.96,91,4,1.078,0.228,-1.054,-0.064,4.93265,0,nan,0.0,3,1,21
471097935,1603343194000408,340356507,1087572693,422146,394231,0.177,0.165883,0.578,0.958,0.57,0.96,91,4,0.855,0.027,-0.854,0.542,4.79803,0,nan,0.0,3,1,21
472089968,1603343195000407,340356500,1087572628,421473,393558,0.191,0.214712,0.576,0.952,0.57,0.96,91,4,0.565,-0.009,-0.565,0.844,4.59327,0,nan,0.0,3,1,21
473102387,1603343196000407,340356507,1087572571,420774,392859,0.214,0.204839,0.574,0.949,0.57,0.96,91,3,0.689,0.092,-0.683,0.648,4.83236,0,nan,0.0,3,1,21
474088155,1603343197000406,340356502,1087572496,420370,392455,0.179,0.209661,0.574,0.948,0.57,0.96,91,3,0.606,0.023,-0.605,0.333,4.7036,0,nan,0.0,3,1,21
475086975,1603343198000406,340356521,1087572443,420322,392407,0.111,0.231738,0.572,0.945,0.57,0.96,91,4,0.552,0.21,-0.511,-0.138,5.10357,0,nan,0.0,3,1,21
