timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
426977275,inf,0,1,1,1,0
427985732,inf,0,1,1,1,0
428994074,inf,0,1,1,1,0
429997304,inf,0,1,1,1,0
431000565,inf,0,1,1,1,0
431919410,inf,0,1,0,0,0
432927806,inf,0,1,0,0,0
433936425,inf,0,1,0,0,0
434939562,inf,0,1,0,0,0
435942869,inf,0,1,0,0,0
436494430,inf,0,0,0,0,0
437006148,inf,0,1,0,0,0
437234229,inf,0,0,0,0,0
438237876,inf,0,0,0,0,0
439246528,inf,0,0,0,0,0
440249836,inf,0,0,0,0,0
441257705,inf,0,0,0,0,0
442266194,inf,0,0,0,0,0
443274405,inf,0,0,0,0,0
444282604,inf,0,0,0,0,0
445286128,inf,0,0,0,0,0
446289555,inf,0,0,0,0,0
447297785,inf,0,0,0,0,0
448306081,inf,0,0,0,0,0
449314083,inf,0,0,0,0,0
450322514,inf,0,0,0,0,0
451325764,inf,0,0,0,0,0
452334169,inf,0,0,0,0,0
453337529,inf,0,0,0,0,0
454346416,inf,0,0,0,0,0
455354183,inf,0,0,0,0,0
456362455,inf,0,0,0,0,0
457365856,inf,0,0,0,0,0
458370266,inf,0,0,0,0,0
459377351,inf,0,0,0,0,0
460385866,inf,0,0,0,0,0
461394071,inf,0,0,0,0,0
462397423,inf,0,0,0,0,0
463405677,inf,0,0,0,0,0
464408968,inf,0,0,0,0,0
465417449,inf,0,0,0,0,0
466425662,inf,0,0,0,0,0
467428990,inf,0,0,0,0,0
468437383,inf,0,0,0,0,0
469445779,inf,0,0,0,0,0
470449073,inf,0,0,0,0,0
471457385,inf,0,0,0,0,0
472460638,inf,0,0,0,0,0
473468973,inf,0,0,0,0,0
474472280,inf,0,0,0,0,0
475476096,inf,0,0,0,0,0
476483952,inf,0,0,0,0,0
477487415,inf,0,0,0,0,0
478490931,inf,0,0,0,0,0
479494203,inf,0,0,0,0,0
480502475,inf,0,0,0,0,0
481505913,inf,0,0,0,0,0
482514101,inf,0,0,0,0,0
483517411,inf,0,0,0,0,0
484525911,inf,0,0,0,0,0
485534095,inf,0,0,0,0,0
486537514,inf,0,0,0,0,0
487545866,inf,0,0,0,0,0
488554665,inf,0,0,0,0,0
489557523,inf,0,0,0,0,0
