timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
750441201,9,-1,0,7,0,0,1,0,0,0,0,0,0,0
750453688,9,0,1,7,0,0,1,0,0,0,0,0,0,0
750461989,9,1,2,7,0,0,1,0,0,0,0,0,0,0
752715718,9,1,2,7,0,0,1,0,0,0,0,0,0,0
802484595,9,2,3,7,0,0,1,0,0,0,0,0,0,0
903084460,9,3,4,7,0,0,1,0,0,0,0,0,0,0
949044248,9,4,5,7,0,0,1,0,0,0,0,0,0,0
1053077133,9,5,6,7,0,0,1,0,0,0,0,0,0,0
1053086775,9,5,6,7,0,0,1,0,0,0,0,0,0,0
1056003152,9,-1,6,7,0,0,1,0,0,0,0,0,0,0
1086309554,10,-1,0,7,0,0,1,0,0,0,0,0,0,0
