timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
79926566,0.997914,0.0123188,-0.0159579,0.0613368,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
79931562,0.997914,0.0123728,-0.015883,0.0613385,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
79981079,0.997875,0.0122698,-0.0160104,0.0619573,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80030742,0.997908,0.0122761,-0.0159763,0.0614262,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80080414,0.997898,0.0122526,-0.0158495,0.0616333,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80130087,0.997902,0.0117439,-0.016042,0.0616088,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80179825,0.997898,0.0126729,-0.0155966,0.061613,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80234402,0.997897,0.0120323,-0.0161423,0.0616161,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80279103,0.997902,0.0124942,-0.0156958,0.0615509,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80328778,0.997896,0.0122247,-0.0161082,0.0615946,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80378452,0.997901,0.0124851,-0.0159599,0.0615008,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80433095,0.997922,0.0123807,-0.016073,0.0611649,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80482765,0.997923,0.0116852,-0.0159531,0.0613128,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80527470,0.997903,0.012831,-0.0158545,0.0614377,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80582113,0.997914,0.012747,-0.0159083,0.0612594,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80631783,0.997916,0.0119199,-0.0162927,0.0612958,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80681456,0.997925,0.0117529,-0.0160457,0.0612355,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80731259,0.997923,0.0125135,-0.0156675,0.0612258,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80780817,0.997931,0.0126193,-0.0160075,0.060974,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80830475,0.99793,0.0118206,-0.0164066,0.061053,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80880167,0.997929,0.0116343,-0.0162103,0.0611499,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80929820,0.997933,0.0122939,-0.0155298,0.0611315,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
80979521,0.997941,0.0125342,-0.0158547,0.0608743,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81029166,0.997948,0.0119533,-0.0162497,0.0607667,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81078839,0.997947,0.0116417,-0.0164858,0.0607878,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81133479,0.997949,0.0116416,-0.0164394,0.0607669,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81178185,0.997933,0.0124522,-0.0156615,0.0610713,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81227858,0.997945,0.012487,-0.016038,0.0607652,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81282687,0.997943,0.0125026,-0.0161022,0.0607718,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81332171,0.997956,0.0118433,-0.0164086,0.0606192,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81381843,0.997976,0.0112849,-0.016248,0.0604439,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81431552,0.99797,0.0118601,-0.0157767,0.0605542,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81481216,0.997957,0.0126014,-0.0155868,0.0606679,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81530988,0.997935,0.0128516,-0.0159709,0.0608751,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81580536,0.997953,0.011793,-0.0164286,0.0606646,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81630208,0.997985,0.0111014,-0.0164037,0.0602779,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81679915,0.998,0.0116292,-0.0158694,0.06008,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81729554,0.997987,0.0124796,-0.0156951,0.0601643,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81779242,0.997958,0.0124028,-0.0158106,0.0606263,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81833867,0.997965,0.0122803,-0.0158893,0.0605155,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81878572,0.997966,0.0117076,-0.0164146,0.0604767,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81928245,0.997988,0.0117447,-0.0161371,0.060185,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
81982886,0.99797,0.0118359,-0.0163502,0.0603998,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82032566,0.997992,0.011901,-0.0159423,0.0601419,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82082389,0.99801,0.011899,-0.0157638,0.0598804,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82126937,0.998031,0.0120956,-0.0154734,0.059576,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82181582,0.998028,0.0118701,-0.015525,0.0596461,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82231251,0.998035,0.0119022,-0.015481,0.0595461,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82280923,0.998035,0.0119239,-0.0154756,0.0595337,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82330656,0.99804,0.0119878,-0.0152487,0.0595056,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82380270,0.998039,0.0120722,-0.0151634,0.0595265,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82429943,0.998038,0.0121627,-0.015101,0.0595404,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82479614,0.998041,0.0121839,-0.0149205,0.0595223,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82529288,0.998036,0.0123059,-0.0148594,0.0595964,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82578962,0.998037,0.0122633,-0.0148444,0.0595875,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82628637,0.998036,0.0122321,-0.0148394,0.0596223,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
82683274,0.998037,0.0111163,-0.0156182,0.0596184,0.999999,-2.33762e-10,2.20188e-09,-0.00123033,3
