timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
92729290,92705890,3997706,402.367,27.43,96584.5,1.14758
92780392,92759319,3997706,401.762,27.52,96591.5,1.14767
92901258,92879858,3997706,401.265,27.5,96597.3,1.14774
93132080,93108662,3997706,403.643,27.58,96569.8,1.14741
93343041,93322875,3997706,402.758,27.51,96580.0,1.14753
93554917,93536784,3997706,404.661,27.48,96558.0,1.14727
93715653,93697986,3997706,401.545,27.53,96594.0,1.1477
93936732,93914003,3997706,404.013,27.54,96565.5,1.14736
94148587,94128419,3997706,401.22,27.53,96597.8,1.14774
94359607,94341889,3997706,399.381,27.52,96619.0,1.14799
94541625,94518586,3997706,400.422,27.58,96607.0,1.14785
94712521,94691862,3997706,403.667,27.49,96569.5,1.14741
94944041,94921365,3997706,400.465,27.53,96606.5,1.14784
95155024,95134857,3997706,402.174,27.49,96586.7,1.14761
95316735,95296562,3997706,401.286,27.55,96597.0,1.14773
95527749,95510082,3997706,397.566,27.62,96640.0,1.14824
95749822,95727105,3997706,401.133,27.55,96598.8,1.14775
95960883,95940641,3997706,401.567,27.61,96593.8,1.14769
96132961,96108392,3997706,401.72,27.57,96592.0,1.14767
96353653,96330921,3997706,398.042,27.64,96634.5,1.14818
96565548,96545306,3997706,401.72,27.6,96592.0,1.14767
96726232,96706058,3997706,400.594,27.52,96605.0,1.14783
96938121,96920458,3997706,401.265,27.59,96597.3,1.14774
97159189,97136488,3997706,402.737,27.51,96580.3,1.14753
97320865,97298176,3997706,401.308,27.6,96596.8,1.14773
97531848,97511680,3997706,399.535,27.57,96617.3,1.14797
97744347,97726098,3997706,400.615,27.6,96604.8,1.14782
97964809,97942124,3997706,401.178,27.53,96598.3,1.14775
98126446,98103740,3997706,401.157,27.58,96598.5,1.14775
98337407,98317234,3997706,401.696,27.65,96592.3,1.14768
98549314,98531627,3997706,400.422,27.58,96607.0,1.14785
98710043,98692382,3997706,401.004,27.54,96600.3,1.14777
98932067,98909322,3997706,401.004,27.59,96600.3,1.14777
99143027,99122860,3997706,400.766,27.66,96603.0,1.1478
99306586,99284512,3997706,401.588,27.59,96593.5,1.14769
99545917,99525613,3997706,400.528,27.55,96605.8,1.14784
99757781,99740082,3997706,400.702,27.6,96603.8,1.14781
99918611,99900884,3997706,401.35,27.54,96596.3,1.14772
100140564,100117884,3997706,401.027,27.58,96600.0,1.14777
100351586,100331419,3997706,402.65,27.66,96581.2,1.14754
100563508,100545835,3997706,401.027,27.6,96600.0,1.14777
